Insumo   ;Embalagem  ;Descricao  ;Quantidade ;Valor;Preco Medio;Ultimo Preco
322;UMA       ;CANULA DE TRAQUEOSTOMIA N.5.5 SEM BALAO                                                   ;7;116,62;16,66;16,66
344;UM        ;CATETER CENTRAL DE INSERCAO PERIFERICA EPICUTANEO 24G (PICC) FR 03 - 30CM                 ;0;0;0;232,3
345;UM        ;CATETER CENTRAL DE INSERCAO PERIFERICA EPICUTANEO 16G (PICC)                              ;0;0;0;0
349;UMA       ;CATETER PARA EMBOLECTOMIA ARTERIAL 6F (TIPO FOGART), (81CM)                               ;35;5016,55;143,33;143,33
353;UM        ;CATETER INTRAVENOSO 14 PARA ACESSO PERIFERICO                                             ;0;0;0;1,8
354;UM        ;CATETER INTRAVENOSO 16 PARA ACESSO PERIFERICO                                             ;90;73,8;0,82;0,82
355;UMA       ;CATETER INTRAVENOSO 18 PARA ACESSO PERIFERICO                                             ;500;900;1,8;1,8
356;UM        ;CATETER INTRAVENOSO 20 PARA ACESSO PERIFERICO                                             ;2400;3120;1,3;1,3
357;UM        ;CATETER INTRAVENOSO 22 PARA ACESSO PERIFERICO                                             ;1500;1950;1,3;1,3
358;UM        ;CATETER INTRAVENOSO 24 PARA ACESSO PERIFERICO                                             ;5400;7020;1,3;1,3
359;UM        ;CATETER INTRAVENOSO CENTRAL ADULTO 16G X 20CM DUPLO LUMEN (TECNICA DE SELDINGER)          ;0;0;0;48,2
360;UMA       ;CATETER NASAL P/OXIGENIO TIPO OCULOS N.12 ADULTO                                          ;16004;39252,12;2,452644;2,49
361;UMA       ;CATETER PARA EMBOLECTOMIA ARTERIAL 3F (TIPO FOGART), (81CM)                               ;70;7378;105,4;105,4
362;UMA       ;CATETER PARA EMBOLECTOMIA ARTERIAL 4F (TIPO FOGART), (81CM)                               ;40;3576,8;89,42;105,56
363;UMA       ;CATETER PARA EMBOLECTOMIA ARTERIAL 5F (TIPO FOGART), (81CM)                               ;20;2111,2;105,56;105,56
364;UMA       ;CATETER PARA EMBOLECTOMIA ARTERIAL 7F (TIPO FOGART), (81CM)                               ;30;4299,9;143,33;143,33
369;UMA       ;AGULHA PERIDURAL N.20G X 1/2 PEDIATRICA                                                   ;975;28068;28,787692;40,44
407;UM        ;CIRCUITO RESPIRATORIO INTER 5 INFANTIL/NEO.                                               ;28;9800;350;350
408;UM        ;CIRCUITO RESPIRATORIO DIXTAL ADULTO C/ PROXIMAL                                           ;18;6260,76;347,82;347,82
467;UM        ;COLCHAO DE AR TIPO CAIXA DE OVO TAMANHO 190 CM X 90 CM                                    ;992;184492,16;185,98;185,98
473;UM        ;COLETOR DE URINA EM SISTEMA ABERTO INFANTIL FEMININO 100ML                                ;0;0;0;0,32
474;UM        ;COLETOR DE URINA EM SISTEMA ABERTO INFANTIL MASCULINO 100M                                ;0;0;0;0,1
475;UM        ;COLETOR DE URINA EM SISTEMA FECHADO 2000 ML (TIPO BOLSA)                                  ;0;0;0;2,99
476;UMA       ;COLETOR P/MATERIAL PERFURO-CORTANTE 13L.                                                  ;449;2399,66;5,344454;5,26
477;UM        ;COLETOR P/MATERIAL PERFURO-CORTANTE 7L                                                    ;0;0;0;3,21
480;UM        ;COLETOR UNIVERSAL 80 ML PLASTICO DESCARTAVEL C/PA ESTERIL                                 ;21800;6976;0,32;0,32
481;UMA       ;COLETOR UNIVERSAL 80 ML PLASTICO DESCARTAVEL C/PA NAO ESTERIL                             ;7650;2601;0,34;0,34
487;ENV.      ;COMPRESSA NNEUROCIRURGICA COTTONOID 25 X 76 MM.                                           ;181;6852,58;37,859558;34,58
489;ENV.      ; COMPRESSA NEUROCIRURGICA COTTONOID 13 X 13 MM.                                           ;540;22680;42;42
490;PCT.      ;COMPRESSA TIPO CAMPO OPERATORIO 45CMX50CM - 30 A 35G                                      ;890;80100;90;90
