Insumo   ;Embalagem  ;Descricao  ;Quantidade ;Valor;Preco Medio;Ultimo Preco
8274;KIT       ;SISTEMA DE INJECAO DE MATERIALA P/ VERTEBROPLASTIA, KIT PARA VERTEBROPLASTIA (03.127-5)   ;0;0;0;672,62
8275;UM        ;(EDA)TESOURA ENDOSCOPICA TUBO DE METAL 2.2MM X 160CM        AUTOCLAVAVEL(3254MS. METZENBAU;0;0;0;2634,335
8276;UM        ;(EDA)BOCAL ADULTO P/PROCEDIMENTOS ENDOSCOPICOS C/FAIXA ELASTICA (0250-01)                 ;0;0;0;56,54
8277;UM        ;FORMOL LIQUIDO 37% 1000ML                                                                 ;0;0;0;14,68
8278;UM        ;EMBALAGEM P/ESTERELIZACAO EM SMS 140 X 140.(APROX.)PESADO                                 ;0;0;0;4,41
8279;UM        ;CATETER DE TITANIO 6.6FR(ACESSO VASCULAR)KIT                                              ;0;0;0;1979,16
8280;UMA       ;(COLOS)PLACA P/ BOLSA DE UROSTOMIA REF 11203 C/FLANGE FLOTOANTE DE 57MM HOLLISTER.        ;1624;121188,88;74,623694;71,5
8281;UM        ;TUBO PARA GASTROSTOMIA 20-2.0(MIC-KEY)                                                    ;21;12600;600;600
8283;KIT       ;SONDA PARA GASTROSTOMIA 24-3.0 (MIC-KEY)                                                  ;0;0;0;687,5
8284;PCT.      ;TUBO DE LATEX N.205 PACOTE COM 15 METROS                                                  ;0;0;0;77,6
8285;UM        ;SONDA NAOGASTROJEJUNAL N. 08 C/2 VIAS                                                     ;0;0;0;1350
8286;UM        ;SONDA NAOGASTROJEJUNAL N. 10 C/2 VIAS                                                     ;0;0;0;1350
8287;ENV.      ;FIO CATGUT CROMADO N.3-0 AG.3,0CM 1/2 CIRC.ESTR.75CM                                      ;3144;12733,2;4,05;4,05
8288;FR.       ;GEL CLINICO UNIVERSAL 250/300 G                                                           ;0;0;0;4,31
8289;UM        ;(NEURO)CLIP HEMOSTATICO (CX. 10UNID.)                                                     ;0;0;0;36,66
8290;PCT.      ;(MICROB)PLACAS DE AGAR ESBL PCT C/20 PLACAS                                               ;0;0;0;168,04
8291;PCT.      ;(MICROB)PLACAS DE MEIO BHI C/VANCOMICINA PCT C/100 PLACAS                                 ;0;0;0;500
8292;CX.       ;(MICROB)ENTEROKIT B CX C/16CONJUNTOS                                                      ;0;0;0;349,5
8293;PCT.      ;(MICROB)PLACAS PRONTAS C/MEIO AGAR SANGUE                                                 ;0;0;0;40,24
8294;UM        ;(MICROB)FRASCO DE AGAR NUTRIENTES                                                         ;0;0;0;125
8295;CX.       ;(MICROB)TESTE COMPLETO P/ BACTERIAS GRAM NEGATIVAS-INDENTIFICACAO E ANTIBIOGRAMA COMPATIVE;0;0;0;1558,33
8296;CX.       ;(MICROB)TESTE COMPLETO P/ BACTERIAS GRAM POSITIVAS-INDENTIFICACAO E ANTIBIOGRAMA COMPATIVE;0;0;0;1558,33
8297;FR.       ;(MICROB)CALDO DE HEMOCULTURA PEDIATRICO FRASCO C/INIBIDOR DE ANTIBIOTICO COMPATIVEL C/EQUI;0;0;0;1023,33
8298;PCT.      ;(MICROB)PLACAS PRONTAS C/MEIO MAC CONKEY                                                  ;0;0;0;25,99
8299;UM        ;(COLOS) PROTETOR PARA COLSOTOMIA E ILESTOMIA REF 17444, SISTEMA DE UMA PECA PARA USO POS I;570;18849,9;33,07;33,07
8300;UM        ;PROTESE TOTAL DE QUADRIL EM CERAMICA DE OXIDO DE ALUMINIO TIPO NAO CIMENTADA DIAM.28MMCOM ;0;0;0;20000
8301;UM        ;IOBAM IODOFORADO (EXTRA SUS)                                                              ;0;0;0;290
8302;PC.       ;(EDA)TUBO D GASTRO LOW PROFIL BUTTON 24FR/4.4CM (6835)                                    ;0;0;0;468,75
8303;UM        ;DISPOSITIVO P/ HERNIA UMBILICAL 4,3CM                                                     ;89;108365,42;1217,588988;1228,21
8304;UM        ;CANULA DE TRAQUEOSTOMIA N.8.5 SEM BALAO                                                   ;0;0;0;20,83
8305;UM        ;(NEFRO)ACIDO PERACETICO 0,2% 5000ML                                                       ;0;0;0;15,46
8306;FR.       ;GEL PARA ULTRASSONOGRAFIA FRASCO COM 250-300G                                             ;0;0;0;7,05
8307;UMA       ;ADESIVO P/PROTECAO E TRATAMENTO DA PELE PERIESTOMA COD(3215/3210) E ABSORCAO DE UMIDADE-FL;0;0;0;44,98
8308;UMA       ;(CARDIO)PROTESE DACRON 18X09 TIPO ENXERTO VASCULAR COMPOSTO                               ;0;0;0;664,95
8309;UMA       ;(CARDIO)PROTESE DACRON 16X08 TIPO ENXERTO VASCULAR COMPOSTO                               ;0;0;0;675,7
8310;UM        ;(COLOS)BOLSA POS OPERATORIO EM ESTOMIA INTESTINAL REF 19011 RECORTAVEL 10-115MM.(COLOPLAST;680;65735,6;96,67;96,67
8312;UM        ;CATETER DE TITANIO 8,0FR(ACESSO VASCULAR)KIT                                              ;0;0;0;1072,91
8313;UM        ;SONDA DE FOLEY N.08 3 VIAS (SILICONE)                                                     ;0;0;0;77,35
8314;UM        ;(ESPEC.)CATETER CENTRAL DE INSERCAO PERIFERICA (PICC) 3F 60CM                             ;0;0;0;607,3125
8315;UM        ;(NEURO) CATETER CENTRAL DE INSERCAO PERIFERICA (PICC) 4F 60CM                             ;0;0;0;607,3125
8316;UM        ;(NEURO) CATETER CENTRAL DE INSERCAO PERIFERICA (PICC) 5F 60CM                             ;0;0;0;607,3125
8317;UM        ;(NEURO) CATETER CENTRAL DE INSERCAO PERIFERICA (PICC) 4-5F 60CM                           ;0;0;0;607,3125
8318;UM        ;(COLOS)BOLSA POS OPERATORIO EM ESTOMIA INTESTINAL REF 19010 RECORTAVEL 10-78MM.(COLOPLAST);1805;182383,85;101,043684;96,67
8319;UM        ;(OFTAL) PONTEIRA I/A SILICONE CURVA REESTERELIZAVEL                                       ;0;0;0;1055,57
8320;UM        ;(C.G)GRAMPEADOR CIRCULAR INTRALUMINAL 21MM                                                ;0;0;0;1300
8321;UM        ;(C.G)GRAMPEADOR CIRCULAR INTRALUMINAL 25MM                                                ;0;0;0;1250
8322;UM        ;(C.G)GRAMPEADOR CIRCULAR INTRALUMINAL 29MM                                                ;0;0;0;1459
8323;UM        ;(C.G)GRAMPEADOR CIRCULAR INTRALUMINAL 33MM                                                ;0;0;0;1300
8324;UM        ;(C.G)GRAMPEADOR LINEAR ENDOSCOPIO ARTICULAR COM CORTE                                     ;0;0;0;2600
8325;UM        ;(C.G)RECARGA PARA GRAMPEADOR CURVO CORTANTE CONTOUR 40MM                                  ;0;0;0;11362
8326;UM        ;CURATIVO SAF-GEL REF.145730 COM ALGINATO DE CALCIO E SODIO  TUBO 85G.                     ;352;49280;140;140
8327;UM        ;CURATIVO HIDROCOLOIDE FORMATO SACRAL 18X20CM(APROX.)  OU    CURATIVO DE ESPUMA DE SILICONE;0;0;0;21,83
8328;UM        ;(OFTAL)LENTES INTRA OCULAR NR 16.0-RAYNER                                                 ;0;0;0;235
8329;UM        ;(OFTAL)LENTES INTRA OCULAR NR 17.0-RAYNER                                                 ;0;0;0;235
8330;UM        ;(OFTAL)LENTES INTRA OCULAR NR 18.0-RAYNER                                                 ;0;0;0;235
8331;UM        ;(OFTAL)LENTES INTRA OCULAR NR 18.5-RAYNER                                                 ;0;0;0;235
8332;UM        ;(OFTAL)LENTES INTRA OCULAR NR 21.0-RAYNER                                                 ;0;0;0;235
8333;UM        ;(OFTAL)LENTES INTRA OCULAR NR 25.0-RAYNER                                                 ;0;0;0;235
8334;UM        ;(OFTAL)LENTES INTRA OCULAR NR 26.0-RAYNER                                                 ;0;0;0;235
8335;UM        ;(OFTAL)LENTES INTRA OCULAR NR 26.5-RAYNER                                                 ;0;0;0;235
8336;UM        ;(OFTAL)LENTES INTRA OCULAR NR 28.0-RAYNER                                                 ;0;0;0;235
8337;UM        ;(OFTAL)LENTES INTRA OCULAR NR 29.0-RAYNER                                                 ;0;0;0;235
8338;UM        ;(OFTAL)LENTES INTRA OCULAR NR 30.0-RAYNER                                                 ;0;0;0;235
8339;UM        ;CURATIVO-OLEO A BASE DE ACIDO GRAXO ESSENCIAL(AGE)100ML VITAMINA A E E, TRIGLICERIDEOS DE ;0;0;0;4,08
8340;UMA       ;SONDA DE FOLEY N.06 3 VIAS (SILICONE)                                                     ;0;0;0;76,94
8341;UMA       ;SONDA DE FOLEY N.12 3 VIAS (SILICONE)                                                     ;0;0;0;77,08
8342;UMA       ;SONDA DE FOLEY N.06 3 VIAS (LATEX)                                                        ;0;0;0;0
8343;KIT       ;SONDA PARA GASTROSTOMIA 24-3.5 (MIC-KEY)                                                  ;0;0;0;687,5
8344;KIT       ;SONDA PARA GASTROSTOMIA 24-2.5 (MIC-KEY)                                                  ;0;0;0;687,5
8345;FR.       ;(BARIAT.)AGULHA DESC.P/ANESTESIA RAQUIDIANA 22G X 3 1/2                                   ;0;0;0;8,17
8346;UM        ;(CARDIO)TRENO DE RETRACAO DESCARTAVEL                                                     ;0;0;0;0
8347;UMA       ;(ESPEC.)TORNEIRA 5 VIAS 3 VALVULAS                                                        ;0;0;0;39,55
8349;UM        ;FITA ADESIVA ZEBRADA VH2O2 - PEROXIDO DE HIDROGENIO.                                      ;0;0;0;277
8350;UM        ;(MICRO)INDICADOR QUIMICO EM TIRA P/ PCD-PEROXIDO REFIL 250UND                             ;0;0;0;26,5
8351;UM        ;(HEMO) CATETER DE ASPIRA«AO ASPICATH 6F REF.BG A6F-ASPICATH                               ;0;0;0;3382,5
8352;UM        ;(ESPEC.)FIO GUIA HIDROFILICO 0,035 260CM STIFF CURVO                                      ;0;0;0;249,91
8353;UM        ;(ESPEC.)FIO GUIA HIDROFILICO 0,035 150CM STIFF CURVO                                      ;0;0;0;165,83
8354;UM        ;(CARDIO)STENT CONVENCIONAL CROMO-COB ALTO 3.0X18MM                                        ;0;0;0;1847,22
8355;UM        ;(CARDIO)STENT CONVENCIONAL CROMO-COB ALTO 4.0X18MM                                        ;0;0;0;1847,22
8356;UM        ;(CARDIO)STENT CONVENCIONAL CROMO-COB ALTO 3.5X18MM                                        ;0;0;0;1791,66
8357;UM        ;(ESPEC.)CATETER P/ANGIOGRAFIA CORONARIANA, RADIAL, TIPO TIG 5F                            ;0;0;0;92,2
8358;UM        ;(ESPEC.)FIO GUIA TEFLONADO 0,35 C/PONTA CURVA 150CM                                       ;0;0;0;97,16
8359;UM        ;CATETER DUPLO LUMEN ACESSO VENOSO CENTRAL 4FR X 13 A 15 CM                                ;10;468,2;46,82;46,82
8360;UM        ;CURATIVO TECIDO BIOLOGICO ESTERIL POROSO NAO ADERENTE 10X08CM (VARIACAO +/- 1CM)          ;770;23823,8;30,94;30,94
8361;UM        ;CURATIVO TECIDO BIOLOGICO ESTERIL POROSO NAO ADERENTE 7,6X20,3CM                          ;0;0;0;17,55
8362;UM        ;CURATIVO TECIDO BIOLOGICO ESTERIL POROSO NAO ADERENTE 7,6X7,6CM                           ;0;0;0;0
8363;ENV.      ;FIO POLIDIOXANONA(PDS)N.2-0 AG.2,6CM 1/2 CIRCULAR 70CM                                    ;818;22676,36;27,721711;26,32
8364;ENV.      ;FIO POLIDIOXANONA(PDS)N.3-0 AG.2,6CM 1/2 CIRCULAR 70CM                                    ;2052;52408,08;25,54;25,54
8365;ENV.      ;FIO POLIDIOXANONA(PDS)N.4-0 AG.2,6CM 1/2 CIRCULAR 70CM                                    ;476;9738,52;20,459075;19,07
8366;ENV.      ;FIO POLIDIOXANONA(PDS)N.4-0 AG.1,7CM 1/2 CIRCULAR,70CM                                    ;360;11015,40017;30,598333;33,21
8367;UM        ;SERINGA DESC.01ML C/AGULHA 13X3,0 LUER SLIP                                               ;0;0;0;0,28
8368;UM        ;SERINGA DESC.01ML C/AGULHA 13X3,8 LUER SLIP                                               ;0;0;0;0,31
8369;UM        ;(PATOL)NAVALHA EM ACO PERFIL ALTO CX C/50UND                                              ;0;0;0;340
8370;UM        ;(EDA)PINCA P/ BIOPSIA MULTIPLAS COLETAS 23MM X 180CM P/ ENDOSCOPIAS.                      ;0;0;0;78,33
8371;UM        ;(EDA)PINCA P/ BIOPSIA MULTIPLAS COLETAS 23MM X 230CM GBF.                                 ;0;0;0;28,47
8372;UM        ;(EDA)ALCA DE POLIPECTOMIA SNARE 25MMX230CM                                                ;0;0;0;79,02
8373;UM        ;(EDA)ALCA DE POLIPECTOMIA SNARE 35MMX180 OVAL                                             ;0;0;0;97,22
8374;UM        ;(EDA)ALCA DE POLIPECTOMIA DESC. ESTERIL 240CM X 13MM TIPO MACRO OVAL                      ;0;0;0;98,95
8376;UM        ;(EDA)PINCA P/BIOPSIA MANDIBULA S/AG.23MM180 2.8M APRESENTA  MANDIBULA FENESTRADA          ;0;0;0;32,63
8377;UM        ;PLACA BLOQUEADA TIPO ROSQUEAVEL ESTRELA P/CALCANEO (EXTRA SUS)                            ;0;0;0;2755,32
8378;UM        ;(PATOL) ALCOOL ETILICO HIDRATADO 70%                                                      ;0;0;0;5,81
8379;L.        ;(ESPEC)XILOL P.A 1000ML                                                                   ;0;0;0;29,13
8380;UM        ;(EDA)PINCA DE RETIRADA DE CORPO ESTRANHO TIPO REDINHA 25MM X 180CM.                       ;0;0;0;34,8
8390;UM        ;PLACA BLOQUEADA PARA FIBULA DISTAL (EXTRA SUS)                                            ;0;0;0;847,22
8391;UM        ;PLACA BLOQUEADA EM S PERFIL BAIXO P/CLAVICULA (EXTRA SUS)                                 ;0;0;0;3382,97
8392;UM        ;PARAFUSO AUTO ROSQUEAVEL 4,5MM (EXTRA SUS)                                                ;0;0;0;669,64
8393;UM        ;FIXADOR ARTICULADO COTOVELO (EXTRA SUS)                                                   ;0;0;0;28750
8395;GL.       ;HIPOCLORITO DE SODIO 5% 5000ML                                                            ;0;0;0;57,19
8396;UM        ;(NEURO)HEMOSTATICO ABSOLVIVEL ESPONJA GELATNA PURIFICADA 10X10                            ;0;0;0;80,64
8397;UM        ;COLETOR UNIVERSAL 70 ML DE POLICARBONATO ESTERIL C/PA E TAMPA                             ;0;0;0;0,87
8398;UM        ;(CPRE)FIO GUIA JAGWIRE STANDARD 0,035 X 260CM COD.5684                                    ;0;0;0;300
8399;UM        ;CABO E CANETA P/CAUTERIO BIPOLAR AUTOCLAVAVEL                                             ;12;18881,32;1573,443333;1568
8400;UM        ;(OFTAL)FIO POLIPROPILENO N.10-0 AG.1,6CM COM.20CM C/2AG                                   ;0;0;0;43,48
8402;UM        ;BROCA REDONDA DIAMANTADA 6.0MM (NEURO)                                                    ;0;0;0;3467,99
8403;UM        ;(ESPEC.)BROCA ADULTO/INFANTIL TREPANACAO AUTOCLAVAVEL                                     ;0;0;0;5088,35
8404;UM        ;BROCA REDONDA DIAMANTADA CURTA/MEDIA/LONGA 7.0MM (NEURO)                                  ;0;0;0;2000
8405;UM        ;(PATOL)SOLUCAO CORANTE ORANGE G G6 1000ML                                                 ;0;0;0;44,05
8406;UM        ;(PATOL)SOLUCAO CORANTE POLICROMO EA 36 1000ML                                             ;0;0;0;79,5
8407;UM        ;(PATOL)SOLUCAO CORANTE AZUL DE METILENO GIEMSA 1000ML                                     ;0;0;0;33,33
8408;UM        ;(EDA)BOCAL PEDIATRICO P/ PROCEDIMENTOS ENDOSCOPICOS C/FAIXA ELASTICA.REUTILIZAVEL         ;0;0;0;62,5
8409;UM        ;FITA MICROPOROSA 2,5CMX 10M                                                               ;0;0;0;0
8410;FR.       ;(ESPEC)FORMOL 10% 1000ML                                                                  ;0;0;0;11,01
8411;UM        ;(NEURO)ENXERTO DURAL ABSOLVIVEL 5X5CM                                                     ;0;0;0;1000
8413;FR.       ;(PATOL)SOLUCAO HEMATOXILINA DE HARRIS C/1000ML                                            ;0;0;0;195,99
8414;KIT       ;(PATOL)KIT COLORACAO ZIEHL NEELSEN MINIMO DE 60 TESTES P/HISTOPATOLOGIA.                  ;0;0;0;350
8415;UM        ;SERINGA DESC.60ML S/AGULHA BICO LONGO OU BICO CATETER                                     ;0;0;0;0,96
8416;UMA       ;AGULHA DE PUNCAO INTRAOSSEA PEDIATRICA 18G 1,25MM X 23,6MM                                ;4;3520;880;880
8417;FR.       ;(MICRO)BOBINA MOD.TYVEK 350MMX70MM                                                        ;0;0;0;985
8418;UM        ;PAPEL GRAU CIRURGICO 60CM X 100M.                                                         ;68;19499,68;286,76;286,76
8419;CX.       ;(CPRE)BALAO DILATACAO BILIAR COM LUMEM DUPLO COM BALAO DE 8MMX4CM DE TAM 180CM.(4594)     ;0;0;0;600
8420;CX.       ;(EDA)BALAO DILATADOR PNEUMATICO P ACALASIA, DESCARTAVEL DE TAM 10CM X 30MM.(5451)         ;0;0;0;1230
8421;KIT       ;(NEFRO)KIT CATETER DUPLO LUMEN 12,5FR X 40CM                                              ;0;0;0;921
8422;UM        ;(ESPEC)CIMENTO OSSEO C/ANTIBIOTICO                                                        ;0;0;0;354,37
8423;UM        ;CONJUNTO DE VALVULA P/HIDROCEFALIA BAIXA/MEDIA/ALTA PRESSAO ADULTO E INFANTIL             ;0;0;0;660,66
8424;UMA       ;ESPONJA HEMOSTATICA DE GELATINA (20X7X0,05CM)                                             ;0;0;0;86,5
8425;UM        ;CURATIVO HIDROGEL 15G (GEL PURILON)                                                       ;0;0;0;29
8426;UM        ;FITA CARDIACA 80CMX35X80                                                                  ;0;0;0;3,46
8429;UM        ;(ESPEC)CATETER PARA ANGIOGRAFIA PIGTAIL EM NYLON 5F 110CM (100 A 125CM). PONTA ATRAUMATICA;0;0;0;91,66
8431;UM        ;CATETER DUPLO LUMEN ACESSO VENOSO CENTRAL 6FR X 20CM                                      ;0;0;0;399,9
8432;UM        ;"(ESPEC)FIO POLIGLACTINA(VYCRIL)DIAMETRO ""7-0"",COMP.45CM,2AG DE 6,5MM E CURVATURA DE 3/8 ES";0;0;0;370
8433;UM        ;"(OFTAL)FIO POLIGLACTINA(VYCRIL),DIAMETRO ""8-0"",COMP.30CM,2A DE 6,5MM E CURVATURA DE 3/8 ES";0;0;0;461,25
8434;UM        ;(OFTAL)FIO POLIPROPILENO N.10-0 AG.0,65CM 20CM C/2AG ESPATULADAS ESTRIADAS                ;0;0;0;397
8435;UM        ;(OFTAL)FIO NYLON N.9-0 AG.0,65MM 3/8 30CM 2AG.ESPATULADAS ESTRIADAS                       ;0;0;0;319
8436;UMA       ;CANULA DE TRAQUEOSTOMIA N.9.5 COM BALAO                                                   ;260;4183,4;16,09;16,09
8437;UM        ;(NEURO)ENXERTO DURAL ABSOLVIVEL 7,5 X 7,5CM                                               ;0;0;0;1800
8438;UM        ;(CARDIO)CAMPO CIRURGICO AUTOADESIVO (INCIFILM)30X28CM                                     ;0;0;0;37,5
8439;KIT       ;(NEFRO)KIT CDL 13,5FR-14,5FR X 36CM TIPO PERMICATH LONGA PERMANENCIA-CATETER DUPLO LUMEN  ;18;22213,8;1234,1;1234,1
8440;UM        ;SONDA GASTRICA (NASOGASTRICA) N.24 CURTA.                                                 ;169;172,38;1,02;1,02
8441;ENV.      ;FIO CATGUT SIMPLES N.1-0 AG.4,0CM 1/2 CIL.ROB.75CM.                                       ;1896;9972,96;5,26;5,26
8442;ENV.      ;FIO CATGUT SIMPLES (5-0), COMPRIMENTO 70 CM,AGULHA CILINDRICA 17 MM CURVATURA DE 1/2.     ;0;0;0;3,09
8443;ENV.      ;FIO NYLON N.4-0 AG.1,9CM 3/8 CIRCULAR, TRIANGULAR COMP.45CM (+/- 1MM VARIACAO)            ;6180;13731;2,221844;2,79
8445;UM        ;(NEURO)SELANTE CIRURGICO C/FIBRINOGENIO,TROMPINA E CLORETO DE CALCIO(ACESSORIO DE PULVERIZ;0;0;0;82,4
8446;UM        ;CATETER DUPLO LUMEN ACESSO VENOSO CENTRAL 5FR X 13 A 15CM                                 ;1640;114800;70;70
8447;UMA       ;FIO NYLON N.3-0 AG.2,4CM 1/2 CIRCULAR,COMP.45CM (+/- 1MM VARIACAO)                        ;6376;37217,52;5,837126;1,86
8448;UMA       ;FIO NYLON N.4-0 AG.2,6CM 1/2 CIRCULAR,COMP.45CM (+/- 1MM VARIACAO)                        ;2000;2900;1,45;1,45
8449;UMA       ;FIO ACO(MONOF)N.4-0 AG.4,8CM 1/2 TRIANGULAR ESTRIADA,COMP.45CM (8 FIOS NO ENVELOPE).      ;276;18768;68;68
8450;ENV.      ;FIO NYLON N.5-0 AG.2,6CM 1/2 TRIANGULAR,45CM (+/- 1MM VARIACAO)                           ;1848;3345,84;1,810519;1,53
8451;UMA       ;PULSEIRA PARA INDENTIFICACAO ADULTO VERDE                                                 ;0;0;0;0,41
8452;UM        ;CATETER CENTRAL DE INSERCAO PERIFERICA (PICC) 2F 24G 60CM                                 ;0;0;0;270
8453;PAR       ;LUVAS NITRILICA S/ FORRO TAM. P                                                           ;0;0;0;16,05
8454;ENV.      ;FIO CATGUT SIMPLES N.3-0 AG.3,5CM 1/2 CILINDRICA, COMP.75CM.                              ;4200;19614;4,67;4,67
8455;FR.       ;IODOPOLIVIDONA SOLUCAO DEGERMANTE 1000ML                                                  ;0;0;0;43
8456;FR.       ;IODOPOLIVIDONA SOLUCAO HIDROALCOOLICA 1000ML                                              ;0;0;0;56
8457;UM        ;(ESPEC.)EXTENSOR CURTO DE ALTA PRESSAO P/CONTRASTE ATE 1200PSI                            ;0;0;0;28,66
8458;UM        ;FIO POLIESTER ALGODAO(POLYCOT)N.2-0 AG.3,0CM CIRC.TRIAN.45CM                              ;4416;10314,24;2,335652;2,85
8459;UM        ;(HEMODINAMICA)CATETER BALAO PTA 0,018 X 3,0MM X 150MM X 135CM                             ;0;0;0;499,14
8460;UM        ;(HEMODINAMICA)CATETER BALAO PTA 0,014 X 2,5MM X 150MM X 150CM                             ;0;0;0;499,14
8461;UM        ;(HEMODINAMICA)CATETER BALAO PTA 0,014 X 2,0MM X 150MM X 150CM                             ;0;0;0;499,14
8462;UM        ;(HEMODINAMICA)CATETER BALAO PTA 0,014 X 2,5MM X 200MM X 150CM                             ;0;0;0;499,14
8463;UM        ;(HEMODINAMICA)CATETER BALAO PTA 0,014 X 3,0MM X 280MM X 150CM                             ;0;0;0;499,14
8464;UM        ;(HEMODINAMICA)CATETER BALAO PTA 0,014 X 2,5MM X 280MM X 150CM                             ;0;0;0;499,14
8465;UM        ;(HEMODINAMICA)CATETER BALAO PTA 0,014 X 2,0MM X 200MM X 150CM                             ;0;0;0;499,14
8466;UM        ;(HEMODINAMICA)CATETER BALAO PTA 0,014 X 3,0MM X 150MM X 150CM                             ;0;0;0;499,14
8467;UM        ;(ESPEC)TESOURA COAGULADORA ULTRASSONICA LAMINA CURVA 5MM DE DIAMENTRO E HASTE DE 36CM DE C;0;0;0;2580
8468;UM        ;(ESPEC)TRICOTOMIZADOR DE CRANIO COM BATERIA RECARREGAVEL C/ CABO 220V                     ;0;0;0;1733,5
8469;UM        ;(ESPEC)LAMINAS PARA TRICOTOMIZADOR                                                        ;0;0;0;73,98
8470;UM        ;FIO POLIPROPILENO N.3-0 AG.1,7CM 1/2 CIRC.75CM,C/2AG(CARDIOVASCULAR)                      ;1224;10918,08;8,92;8,92
8471;UM        ;FIO POLIPROPILENO N.4-0 AG.2,6CM 1/2 CIRCULAR,90CM C/2AG                                  ;0;0;0;9,6
8472;UM        ;FIO POLIPROPILENO N.3-0 AG.2,6CM 1/2 CIRCULAR,75CM GASTROINTESTINAL                       ;0;0;0;0
8473;FR.       ;(BARIAT)FIO POLIDIOXANONA(PDS)N.4-0 AG.1,7CM 1/2 CIRC.70CM                                ;0;0;0;1333,71
8474;FR.       ;(BARIAT)FIO POLIDIOXANONA(PDS)N.5-0 AG.1,3CM 3/8 CIRC.75CM                                ;0;0;0;2424,27
8475;ENV.      ;FIO POLIPROPILENO N.7-0 AG.1,3CM 3/8 CILIN.60CM C/2AG CARDIOVASCULAR                      ;864;23319,36;26,99;26,99
8476;ENV.      ;FIO POLIPROPILENO N.7-0 AG.9,3MM 3/8 CILIN.75CM C/2AG CARDIOVASCULAR                      ;0;0;0;19
8477;UM        ;COLETOR UNIVERSAL 50 ML PLASTICO DESCARTAVEL C/PA                                         ;0;0;0;0,5
8478;ENV.      ;FIO POLIPROPILENO N.5-0 AG.1,7MM 1/2 CILIN.ESTR.75CM C/2AG CARDIOVASCULAR                 ;2232;20571,84;9,216774;11,73
8480;ENV.      ;FIO POLIPROPILENO N.0 AG.2,6CM 1/2 CILIN.ESTR.75CM C/2AG FECHAMENTO GERAL                 ;0;0;0;1,67
8481;ENV.      ;FIO POLIPROPILENO N.2-0 AG.2,2CM 1/2 75CM CIL.ESTR.RETANG.C/2AG CARDIOVASCULAR            ;3648;27141,12;7,44;7,44
8482;ENV.      ;FIO POLIPROPILENO N.3-0 AG.2,6CM 1/2 CORT.ESTR.QUAD.90CM C/2AG CARDIOVASCULAR             ;0;0;0;11,52
8483;ENV.      ;FIO POLIPROPILENO N.4-0 AG.1,7CM 1/2 CORT.ESTR.QUAD.90CM C/2AG CARDIOVASCULAR             ;0;0;0;19,54
8484;ENV.      ;FIO POLIPROPILENO N.5-0 AG.1,7CM 1/2 CORT.ESTR.QUAD.90CM C/2AG CARDIOVASCULAR             ;0;0;0;13,92
8485;ENV.      ;FIO POLIDIOXANONA(PDS)N.1 AG.4,8CM 1/2 CIL.ESTR.90CM FECHAMENTO GERAL.                    ;780;23420,04;30,025692;28,91
8486;ENV.      ;FIO POLIDIOXANONA(PDS)N.1 AG.6,5CM 1/2 CIL.ESTR.244CM FECHAMENTO GERAL.                   ;0;0;0;53,34
8487;UM        ;(ESPEC.)GUIA P/ MEDICAO DE FLUXO FRACIONADO DE RESERVA FFR                                ;0;0;0;2875
8488;UM        ;(NEURO)KIT DE BIOPSIA ESTEREOTAXICA C/AGULHA E PARAFUSOS                                  ;0;0;0;3716,66
8489;FR.       ;(PATOL)MEIO DE INCLUSAO P/ CONGELACAO C/MINIMO 100ML                                      ;0;0;0;190
8490;TESTE     ;(PATOL)CONJUNTO COLORACAO GROCOT C/MINIMO 60 TESTE                                        ;0;0;0;400
8491;TESTE     ;(PATOL)CONJUNTO COLORACAO PICROSIRIUS RED STAINIG PRONTO P/SO MINIMO 60 TESTE             ;0;0;0;350
8492;TESTE     ;(PATOL)CONJUNTO COLORACAO PAS-ACIDO PERIODICO SCHIFF-PRONTO P/USO MINIMO 60 TESTE         ;0;0;0;450
8493;TESTE     ;(PATOL)CONJUNTO COLORACAO TRICROMIO DE MASSON PRONTO P/USO MINIMO 60 TESTE                ;0;0;0;350
8494;TESTE     ;(PATOL)CONJUNTO COLORACAO PERLS PRONTO P/USO MINIMO 60 TESTE                              ;0;0;0;350
8495;TESTE     ;(PATOL)CONJUNTO COLORACAO FONTANA MASSON P/USO MINIMO 60 TESTE                            ;0;0;0;400
8496;TESTE     ;(PATOL)CONJUNTO COLORACAO VERHOEFF PRONTO P/USO MINIMO 60 TESTE                           ;0;0;0;350
8497;TESTE     ;(PATOL)CONJUNTO COLORACAO ALCIAN BLUE PH 2,5 PRONTO P/USO MINIMO 60 TESTE                 ;0;0;0;350
8498;TESTE     ;(PATOL)CONJUNTO COLORACAO RETICULINA PRONTO P/USO MINIMO 60 TESTE                         ;0;0;0;400
8499;TESTE     ;(PATOL)CONJUNTO COLORACAO MUCICARMIM PRONTO P/USO MINIMO 60 TESTE                         ;0;0;0;350
8500;TESTE     ;(PATOL)CONJUNTO COLORACAO VERMELHO CONGO PRONTO P/USO MINIMO 60 TESTES                    ;0;0;0;350
8501;UM        ;CURATIVO DE ABSORCAO,DE CARVAO ATIVADO C/ALGINATO DE CALCIO E SODIO E CARBOXIM.SODICA 08X1;0;0;0;43,83
